"YearsInEd","n","exit_rate_by_exp","exit_n_by_exp","year"
"12",6577,0.0291926410217424,192,"2019-20"
"13",6300,0.026984126984127,170,"2019-20"
"14",6316,0.0294490183660545,186,"2019-20"
"15",6389,0.0314603224291751,201,"2019-20"
"16",5832,0.0315500685871056,184,"2019-20"
"17",5530,0.0309222423146474,171,"2019-20"
"18",5374,0.0275400074432453,148,"2019-20"
"19",5293,0.037407897222747,198,"2019-20"
"2",6599,0.0750113653583876,495,"2019-20"
"20",5961,0.0372420734776044,222,"2019-20"
"21",4787,0.0376018383120953,180,"2019-20"
"22",4439,0.0355936021626492,158,"2019-20"
"23",3606,0.0526899611758181,190,"2019-20"
"24",3125,0.05184,162,"2019-20"
"25",2769,0.0501986276634164,139,"2019-20"
"26",2936,0.055858310626703,164,"2019-20"
"27",2108,0.0659392789373814,139,"2019-20"
"28",1814,0.0694597574421169,126,"2019-20"
"29",1729,0.0821283979178716,142,"2019-20"
"3",6259,0.0653459019012622,409,"2019-20"
"30",1539,0.115659519168291,178,"2019-20"
"31",1312,0.121951219512195,160,"2019-20"
"32",1205,0.135269709543568,163,"2019-20"
"33",977,0.169907881269191,166,"2019-20"
"34",744,0.223118279569892,166,"2019-20"
"35",553,0.289330922242315,160,"2019-20"
"36",307,0.257328990228013,79,"2019-20"
"37",243,0.300411522633745,73,"2019-20"
"38",185,0.32972972972973,61,"2019-20"
"39",151,0.337748344370861,51,"2019-20"
"4",6276,0.0511472275334608,321,"2019-20"
"40",159,0.333333333333333,53,"2019-20"
"41",99,0.353535353535354,35,"2019-20"
"42",54,0.407407407407407,22,"2019-20"
"43",53,0.415094339622642,22,"2019-20"
"44",37,0.324324324324324,12,"2019-20"
"45",28,0.321428571428571,9,"2019-20"
"46",29,0.206896551724138,6,"2019-20"
"47",11,0.363636363636364,4,"2019-20"
"48",13,0.0769230769230769,1,"2019-20"
"49",5,0.4,2,"2019-20"
"5",5863,0.0460515094661436,270,"2019-20"
"50",6,0.333333333333333,2,"2019-20"
"51",4,0.75,3,"2019-20"
"52",2,0.5,1,"2019-20"
"53",1,0,0,"2019-20"
"54",2,0,0,"2019-20"
"55",1,0,0,"2019-20"
"56",1,1,1,"2019-20"
"6",5368,0.0421013412816692,226,"2019-20"
"63",1,1,1,"2019-20"
"7",4460,0.0428251121076233,191,"2019-20"
"8",3909,0.0360706062931696,141,"2019-20"
"9",4635,0.0379719525350593,176,"2019-20"
"1",5681,0.101390600246435,576,"2020-21"
"10",4598,0.0308829926054806,142,"2020-21"
"11",5676,0.0287174066243834,163,"2020-21"
"12",6156,0.0240415854450942,148,"2020-21"
"13",6436,0.0268800497203232,173,"2020-21"
"14",6182,0.0286315108379165,177,"2020-21"
"15",6205,0.025624496373892,159,"2020-21"
"16",6225,0.0242570281124498,151,"2020-21"
"17",5706,0.0240098142306344,137,"2020-21"
"18",5416,0.0306499261447563,166,"2020-21"
"19",5273,0.0373601365446615,197,"2020-21"
"2",6216,0.0646718146718147,402,"2020-21"
"20",5167,0.0327075672537256,169,"2020-21"
"21",5790,0.0386873920552677,224,"2020-21"
"22",4632,0.0349740932642487,162,"2020-21"
"23",4308,0.0401578458681523,173,"2020-21"
"24",3459,0.0439433362243423,152,"2020-21"
"25",3002,0.0576282478347768,173,"2020-21"
"26",2658,0.0703536493604214,187,"2020-21"
"27",2783,0.061803808839382,172,"2020-21"
"28",1983,0.0711043872919818,141,"2020-21"
"29",1693,0.0950974601299468,161,"2020-21"
"3",6387,0.0598089870048536,382,"2020-21"
"30",1591,0.123192960402263,196,"2020-21"
"31",1371,0.12035010940919,165,"2020-21"
"32",1163,0.157351676698194,183,"2020-21"
"33",1057,0.214758751182592,227,"2020-21"
"34",821,0.246041412911084,202,"2020-21"
"35",580,0.331034482758621,192,"2020-21"
"36",399,0.323308270676692,129,"2020-21"
"37",227,0.255506607929515,58,"2020-21"
"38",174,0.327586206896552,57,"2020-21"
"39",122,0.401639344262295,49,"2020-21"
"4",5942,0.0503197576573544,299,"2020-21"
"40",107,0.355140186915888,38,"2020-21"
"41",107,0.345794392523364,37,"2020-21"
"42",63,0.333333333333333,21,"2020-21"
"43",35,0.542857142857143,19,"2020-21"
"44",30,0.3,9,"2020-21"
"45",24,0.291666666666667,7,"2020-21"
"46",20,0.25,5,"2020-21"
"47",23,0.217391304347826,5,"2020-21"
"48",7,0.571428571428571,4,"2020-21"
"49",12,0.333333333333333,4,"2020-21"
"5",6071,0.042991269971998,261,"2020-21"
"50",3,0.333333333333333,1,"2020-21"
"51",5,0,0,"2020-21"
"52",1,0,0,"2020-21"
"53",1,0,0,"2020-21"
"54",1,1,1,"2020-21"
"55",3,0.333333333333333,1,"2020-21"
"56",1,1,1,"2020-21"
"59",1,0,0,"2020-21"
"6",5687,0.0363988042904871,207,"2020-21"
"7",5180,0.0322393822393822,167,"2020-21"
"8",4319,0.0356564019448947,154,"2020-21"
"9",3758,0.0300691857370942,113,"2020-21"
