"YearsInEd","n","exit_rate_by_exp","exit_n_by_exp","year"
"43",35,0.514285714285714,18,"2020-21"
"44",30,0.3,9,"2020-21"
"45",24,0.291666666666667,7,"2020-21"
"46",20,0.25,5,"2020-21"
"47",23,0.217391304347826,5,"2020-21"
"48",7,0.571428571428571,4,"2020-21"
"49",12,0.333333333333333,4,"2020-21"
"5",6112,0.0409031413612565,250,"2020-21"
"50",3,0.333333333333333,1,"2020-21"
"51",5,0,0,"2020-21"
"52",2,0,0,"2020-21"
"53",1,0,0,"2020-21"
"54",1,1,1,"2020-21"
"55",3,0.333333333333333,1,"2020-21"
"56",1,1,1,"2020-21"
"59",1,0,0,"2020-21"
"6",5718,0.0342777194823365,196,"2020-21"
"7",5214,0.029535864978903,154,"2020-21"
"8",4338,0.0325034578146611,141,"2020-21"
"9",3763,0.0294977411639649,111,"2020-21"
