,Jurisdiction,Date,Cumulative Case Rate,Percent
47087,Union,2020-04-09,24.5,0.4128471286060933
12487,Potter,2020-04-09,18.2,0.3066864383930979
8776,Sullivan,2020-04-09,16.5,0.27803990293879755
7663,Susquehanna,2020-04-09,52.1,0.8779320571582637
34380,Beaver,2020-04-09,86.0,1.4491776759234296
4869,Monroe,2020-04-09,442.2,7.451469398759774
32574,Clarion,2020-04-09,28.6,0.4819358317605824
35940,McKean,2020-04-09,7.4,0.1246966837422486
35433,Luzerne,2020-04-09,419.0,7.060528444324616
29585,Wayne,2020-04-09,95.4,1.607576166082502
37464,Berks,2020-04-09,173.1,2.9168913453761123
31516,Dauphin,2020-04-09,72.2,1.2166352116473445
33010,Schuylkill,2020-04-09,117.4,1.9782960366675655
3587,Cambria,2020-04-09,8.4,0.14154758695066055
29709,Delaware,2020-04-09,241.9,4.076233486114856
6395,Forest,2020-04-09,96.6,1.6277972499325966
32962,Bucks,2020-04-09,160.8,2.7096252359126454
32043,Northampton,2020-04-09,330.5,5.569223510380157
5091,Crawford,2020-04-09,18.9,0.3184820706389862
30710,Butler,2020-04-09,64.9,1.0936236182259371
33491,Pike,2020-04-09,349.4,5.887705581019143
33638,Tioga,2020-04-09,27.1,0.45665947694796444
10703,Bedford,2020-04-10,10.4,0.16160360500349624
47091,Northampton,2020-04-10,342.0,5.314272395307281
42892,Cumberland,2020-04-10,42.2,0.6557377049180328
40482,Franklin,2020-04-10,36.8,0.571828140781602
43695,Lancaster,2020-04-10,134.1,2.083754176054697
30415,Bucks,2020-04-10,175.6,2.7286147152513407
40315,Berks,2020-04-10,225.3,3.500893481469972
13253,Susquehanna,2020-04-10,52.1,0.8095719058348226
11521,Wyoming,2020-04-10,37.3,0.5795975448683086
41639,Westmoreland,2020-04-10,61.9,0.961852225934271
13635,Schuylkill,2020-04-10,128.0,1.988967446196877
47457,Dauphin,2020-04-10,78.3,1.216688679978246
47460,Bradford,2020-04-10,29.8,0.4630564835677104
12851,Warren,2020-04-10,2.6,0.04040090125087406
18348,Delaware,2020-04-10,266.6,4.142646259031934
8448,Northumberland,2020-04-10,35.2,0.5469660477041413
45914,Pike,2020-04-10,385.2,5.9855489083987266
47777,Lebanon,2020-04-10,165.7,2.574780514334551
13026,Cambria,2020-04-10,10.0,0.15538808173413102
40622,Montour,2020-04-10,159.1,2.4722243803900246
36028,Lackawanna,2020-04-10,185.0,2.874679512081424
47845,Columbia,2020-04-10,158.5,2.4629010954859765
41211,Clarion,2020-04-10,39.0,0.6060135187631109
13133,Lycoming,2020-04-10,17.7,0.2750369046694119
47157,Washington,2020-04-10,32.9,0.511226788905291
6632,Fulton,2020-04-10,6.9,0.1072177763965504
33289,Indiana,2020-04-10,47.6,0.7396472690544637
46508,Venango,2020-04-10,11.8,0.1833579364462746
30804,Carbon,2020-04-10,154.2,2.3960842203403
13156,Snyder,2020-04-10,52.0,0.8080180250174813
30014,Adams,2020-04-10,43.7,0.6790459171781525
13171,Armstrong,2020-04-10,40.2,0.6246600885712067
43986,Beaver,2020-04-10,89.7,1.3938310931551552
9196,Elk,2020-04-10,10.0,0.15538808173413102
40991,Butler,2020-04-10,69.2,1.0752855256001865
7178,Potter,2020-04-10,24.2,0.3760391577965971
